Crop,Year,Country,Region,avgtemp,precipitation,co2,yield,extremeevents,irrigationaccess,pesticideuse,fertilizeruse,soilhealth,strategies,economicimpact,irrigationtype,soiltype,season,soilimpact,Machine_Name,Function,Features
Maize,2001,India,West Bengal,1.55,447.06,15.22,1.737,8,14.54,10.08,14.78,83.25,Water Management,808.13,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2024,China,North,3.23,2913.57,29.82,1.737,8,11.05,33.06,23.25,54.02,Crop Rotation,616.22,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2001,France,Ile-de-France,21.11,1301.74,25.75,1.719,5,84.42,27.41,65.53,67.78,Water Management,796.96,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1998,India,Tamil Nadu,2.19,1627.48,11.81,1.08,9,95.75,44.35,88.08,49.61,Crop Rotation,401.72,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2021,Australia,New South Wales,25.63,786.17,7.77,3.27,4,66.53,13.44,40.5,63.16,Drought-resistant Crops,1367.97,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2012,India,Punjab,32.08,1233.1,6.1,2.99,1,45.87,10.09,32.54,42.31,Water Management,761.89,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2018,Nigeria,North West,21.23,475.32,25.74,0.765,1,25.74,44.38,72.92,84.21,No Adaptation,167.21,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2006,Nigeria,South East,-3.57,1402.97,5.49,2.67,10,19.17,4.38,12.02,44.12,Water Management,1100.44,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2003,USA,Northeast,14.7,2272.28,11.45,2.5,9,57.37,19.48,46.13,77.32,Drought-resistant Crops,1126.27,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2018,Brazil,North,20.83,2639.04,6.01,3.64,10,52.71,28.15,61.34,88.14,Drought-resistant Crops,521.59,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,1997,Brazil,Northeast,17.45,1634.32,29.55,2.754,5,29.84,48.57,3.21,30.18,No Adaptation,1323.81,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2000,Australia,New South Wales,30.08,1641.99,15.83,3.096,2,94.75,13.7,42.84,73.56,Organic Farming,345.85,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2011,Brazil,Southeast,15.75,1433.31,11.91,2.08,6,79.2,25.19,67.56,55.03,Organic Farming,933.72,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,1997,Australia,Victoria,31.67,2364.58,13.16,3.33,4,72.38,48.77,12.25,94.46,Drought-resistant Crops,1244.49,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2024,Canada,Ontario,4.99,2697.15,28.86,2.619,10,41.07,39.69,31.4,65.11,No Adaptation,657.71,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2004,China,East,-0.5,2892.43,18.33,1.593,7,34.21,13.13,81.9,77.07,Drought-resistant Crops,776.0,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2015,Brazil,North,14.69,804.11,23.52,4.248,1,75.67,1.73,78.02,49.8,No Adaptation,1581.37,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2020,Australia,Western Australia,17.77,1743.11,13.69,1.69,2,23.95,39.15,67.61,42.34,Water Management,440.49,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2019,Argentina,Pampas,2.33,839.77,25.67,2.0160000000000005,5,18.4,8.92,70.37,82.21,Organic Farming,524.89,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2024,USA,South,12.18,1647.58,19.1,1.872,8,36.61,43.15,22.46,52.18,Water Management,925.79,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1998,Brazil,South,28.86,1970.45,13.89,1.93,2,41.49,16.31,94.79,55.36,Drought-resistant Crops,763.3,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
